1	0.01	13	0.6168	25	9.2929	37	78.5123	49	450	61	820
2	0.02	14	0.7951	26	11.2769	38	92.3657	50	487.5	62	835
3	0.0327	15	1.0194	27	13.6434	39	108.663	51	525	63	850
4	0.0476	16	1.3005	28	16.4571	40	127.837	52	562.5	64	865
5	0.066	17	1.6508	29	19.7916	41	150.393	53	600	65	880
6	0.0893	18	2.085	30	23.7304	42	176.93	54	637.5	66	895
7	0.1197	19	2.6202	31	28.3678	43	208.152	55	675	67	910
8	0.1595	20	3.2764	32	33.81	44	244.875	56	700	68	925
9	0.2113	21	4.0766	33	40.1754	45	288.083	57	725	69	940
10	0.2785	22	5.0468	34	47.6439	46	337.5	58	750	70	955
11	0.365	23	6.2168	35	56.3879	47	375	59	775	71	970
12	0.4758	24	7.6198	36	66.6034	48	412.5	60	800	72	985
